iter	Passed	Remaining
0	53	26836
1	56	14031
2	60	9977
3	63	7872
4	66	6613
5	69	5728
6	73	5200
7	77	4744
8	80	4417
9	84	4143
10	87	3906
11	92	3764
12	95	3572
13	98	3412
14	100	3260
15	106	3227
16	109	3107
17	112	3001
18	115	2921
19	121	2924
20	124	2840
21	127	2762
22	132	2744
23	135	2693
24	138	2635
25	141	2574
26	151	2655
27	154	2611
28	165	2692
29	168	2644
30	171	2597
31	175	2562
32	179	2540
33	181	2494
34	184	2453
35	188	2428
36	191	2396
37	194	2358
38	196	2326
39	199	2293
40	202	2263
41	204	2234
42	207	2203
43	209	2176
44	212	2153
45	215	2129
46	218	2105
47	220	2079
48	223	2056
49	225	2033
50	231	2041
51	234	2022
52	237	2002
53	240	1987
54	243	1967
55	246	1955
56	248	1934
57	251	1915
58	253	1896
59	256	1883
60	259	1866
61	261	1849
62	264	1834
63	267	1820
64	269	1805
65	272	1790
66	274	1776
67	277	1765
68	280	1751
69	283	1738
70	286	1729
71	288	1717
72	292	1712
73	295	1702
74	298	1690
75	301	1682
76	304	1671
77	306	1659
78	309	1648
79	311	1637
80	314	1629
81	320	1633
82	323	1625
83	326	1618
84	334	1634
85	337	1624
86	340	1617
87	343	1608
88	346	1602
89	349	1592
90	353	1587
91	355	1578
92	358	1570
93	366	1583
94	370	1579
95	373	1570
96	376	1563
97	379	1557
98	382	1550
99	386	1545
100	389	1537
101	393	1533
102	397	1530
103	399	1521
104	402	1514
105	406	1509
106	415	1526
107	419	1522
108	427	1534
109	430	1527
110	435	1524
111	438	1518
112	441	1510
113	444	1504
114	447	1498
115	450	1492
116	454	1486
117	457	1481
118	460	1473
119	462	1465
120	466	1460
121	468	1452
122	471	1445
123	474	1437
124	477	1432
125	479	1424
126	484	1422
127	486	1415
128	489	1407
129	493	1403
130	496	1398
131	498	1391
132	501	1383
133	505	1379
134	507	1372
135	510	1366
136	512	1359
137	515	1351
138	519	1349
139	522	1343
140	525	1337
141	527	1331
142	531	1325
143	534	1320
144	536	1314
145	539	1309
146	542	1303
147	545	1297
148	549	1294
149	554	1293
150	557	1287
151	560	1282
152	564	1280
153	568	1278
154	571	1271
155	574	1266
156	577	1260
157	580	1257
158	583	1251
159	586	1246
160	589	1241
161	592	1236
162	595	1230
163	597	1224
164	603	1225
165	607	1221
166	609	1216
167	612	1210
168	616	1206
